000000 ID5   NAME10     SURNAME10  RC10       PHONE10    PHONE10    CU24                     sym05 SYMS10     RNDNUM10      
000000 12345 1234567890 1234567890 1234567890 1234567890 1234567890 123456789012345678901234 12345 1234567890 1234567890    

7510001 320000 085N        480SELY     26853221419 57676704071 98045588510 5663301000000512302480207 917444 82054544411 86155551122
****** ***** ********** ********** ********** ********** ********** ************************ ***** ********** **********
 PETRA  JIRI      JOSEF      PETRA      JOSEF       JIRI   KRISTYNA                    JOSEF KRISTYNA       PETR      HANKA
000004 40000 JANA       ZEMANOVA   9651227762  776704074  445588510 CZ3301000000812311485522 77222 2772111111 4444444422
722698806 601511117  722307301  729835073  734537401  739939628  736499909                726710208 738682764  604826556  736602848
000006 60000 SIMON      TOMEK      425302113   776704076  445588510 CZ3301000000012311480203 88222 5223311111 4040404040
000007 70000 STEPAN     ZELENY     0305122862  776704077  445588510 CZ3301000000112311480202 19922 6222611111 4040404040
000008 80000 KAREL      TRN        9808118881  776704078  445588510 CZ3301000000212311480208 12444 6226611111 4444444444
000009 90000 LIBOR      LEADER     6760106496  776704079  445588510 CZ3301000000433311480207 12226 8222111166 4111111111
000010 10000 MICHAL     KOUTNY     7710267488  776704080  445588510 CZ3301000000812311487799 88888 8222111111 MT11111111
000011 11000 MICHAL     BRAMORA    6806197992  776704081  445588510 CZ3301000000812344480207 67766 9222111555 4444444444
